Acct,Vendor,Material,Material_Description,Image,ImageNum
25,Saroj Fabrics,Embroidered Cotton,Green seagreen Matka silk with white small floral embroidery spread apart,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-06-18at13.38.03.jpg?v=1624277189,1
,,,,,
31,Saroj Fabrics,Embroidered Cotton,sunshine yellow Matka silk with white small floral embroidery spread apart,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-06-18at13.37.38.jpg?v=1624273627,1
,,,,,
43,Saroj Fabrics,Embroidered Georgette,Aqua Blue georgette heavy embroidery in lighter blue,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-05-24at10.16.35.jpg?v=1622268176,1
,,,,,
44,Saroj Fabrics,Embroidered Georgette,Sage Green georgette heavy embroidery in lighter green,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-05-24at10.16.34.jpg?v=1622268146,1
,,,,,
51,Saroj Fabrics,Embroidered Georgette,Light Aqua Blue georgette heavy embroidery in lighter blue,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-05-24at10.16.24.jpg?v=1622267873,1
,,,,,
54,Saroj Fabrics,Embroidered Georgette,Baby Pink georgette heavy embroidery in lighter pink,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-05-24at10.16.22.jpg?v=1622267720,1
,,,,,
57,Saroj Fabrics,Embroidered Georgette,Beige georgette  heavy embroidery in off white ,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-05-24at10.16.19.jpg?v=1622267649,1
,,,,,
60,Saroj Fabrics,Embroidered Georgette,Taupe  georgette  heavy embroidery in off white ,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-05-24at10.16.14.jpg?v=1622267314,1
,,,,,
87,Saroj Fabrics,Printed Satin Linen,"Gray, orange, white, brown and sea green printed Satin linen",https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-03-27at12.39.00PM_6.jpg?v=1617095513,1
,,,,,
113,Saroj Fabrics,Embroidered Linen,Gray body with pink and green embroidery Linen ,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-03-18at3.19.46PM_14.jpg?v=1616491179,1
,,,,,
116,Saroj Fabrics,Silk Brocade,"Plum, purple with  gold small flower brocade benarsi dupion silk",https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-03-17at2.26.20PM_11.jpg?v=1616051888,1
,,,,,
118,Saroj Fabrics,Brocade,Red with gold leaf zari brocade  silk ,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-03-17at2.26.20PM_8.jpg?v=1616051796,1
,,,,,
120,Saroj Fabrics,Brocade,Navy blue with gold leaf zari brocade  silk ,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-03-17at2.26.20PM_5.jpg?v=1616051684,1
,,,,,
122,Saroj Fabrics,Brocade,Black with gold brocade on silk ,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-03-17at2.26.35PM_6.jpg?v=1616051411,1
,,,,,
124,Saroj Fabrics,Brocade,Salmon Pink and maroonand gold  brocade on benarsi silk ,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-03-17at2.26.35PM_3.jpg?v=1616051211,1
,,,,,
126,Saroj Fabrics,Brocade,Sunshine yellow with maroon and gold brocade on benarsi silk,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-03-17at2.26.35PM.jpg?v=1616050882,1
,,,,,
128,Saroj Fabrics,Brocade,Lotus Pink with mutted gold brocade on katan silk ,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-03-17at2.26.19PM_12.jpg?v=1616050036,1
,,,,,
130,Saroj Fabrics,Brocade,Sea Green with mutted gold brocade on katan silk ,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-03-17at2.26.19PM_9.jpg?v=1616049873,1
,,,,,
132,Saroj Fabrics,Brocade,Bright Lemon Yellow with mutted gold brocade on katan silk ,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-03-17at2.26.19PM_6.jpg?v=1616049348,1
,,,,,
134,Saroj Fabrics,Brocade,Taupe with pink  and  white silk thread brocade on silk,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-03-17at2.26.19PM_3.jpg?v=1616048498,1
,,,,,
136,Saroj Fabrics,Brocade,Red with white silk thread brocade on silk,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-03-17at2.26.19PM.jpg?v=1616048144,1
,,,,,
138,Saroj Fabrics,Brocade,Peridot green with pink  and white silk  thread brocade on silk,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-03-17at2.25.44PM_3.jpg?v=1616048004,1
,,,,,
140,Saroj Fabrics,Brocade,Mustard Yellow with zari and maroon brocade on silk,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-03-17at2.25.44PM.jpg?v=1616047818,1
,,,,,
142,Saroj Fabrics,Brocade,Pinkish Red with white leaf pattern brocade on silk,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-03-17at2.25.43PM_12.jpg?v=1616047727,1
,,,,,
144,Saroj Fabrics,Brocade,Purple with green and white leaf pattern brocade on silk,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-03-17at2.25.43PM_9.jpg?v=1616047578,1
,,,,,
146,Saroj Fabrics,Brocade,Fuschia Purple with shocking pink and zari brocade on silk,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-03-17at2.25.43PM_6.jpg?v=1616047421,1
,,,,,
148,Saroj Fabrics,Brocade,Red with Red and Zari brocade on silk,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-03-17at2.25.43PM_3.jpg?v=1616047245,1
,,,,,
