Handle,Title,Body (HTML),Vendor,Standardized Product Type,Custom Product Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
dola-white-silk-embroidery-fabric,Dola  White Silk Embroidery Fabric.,,Saroj Fabrics,,Embroidered Raw Silk,"44 Inch, Embroidered, Embroidered Raw Silk, FABRICS, New July, Normal, Raw Silk, ready, white",TRUE,Title,Default Title,,,,,GK340712,60,shopify,16,deny,manual,337.5,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2022-01-17at16.22.01_8.jpg?v=1642432512,1,,FALSE,Buy Silk Embroidery Fabric Online,,,,,,,,,,,,,,,,g,,,active
dola-white-silk-embroidery-fabric,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2022-01-17at16.22.01_9.jpg?v=1642432525,2,,,,,,,,,,,,,,,,,,,,,,
chanderi-off-white-embroidery-fabric,Chanderi Off White Embroidery Fabric,"<p>A beautiful blend of Cotton, Silk thread and zari results to Chanderi fabric. Chanderi fabric comes from a small town, Chanderi town in Madhya Pradesh. The fabric is a result of traditional methods of hand weaving that have been developed over the centuries and passed down through generations. Create your own designs by selecting our Chanderi embroideries in different shades of pastels and earthy colours, with a work of different embroidered coloured threads, patterns and designs.</p>",Saroj Fabrics,,Embroidered Chanderi,"44 Inch, Chanderi, Embroidered, Embroidered Chanderi, FABRICS, New July, New September, Normal, off white, ready",TRUE,Title,Default Title,,,,,GK340825,60,shopify,9,deny,manual,337.5,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2022-01-17at16.22.19.jpg?v=1642432741,1,,FALSE,Buy Chanderi Butti Embroidery Fabric Online,"Chanderi Embroidery Fabric. A beautiful blend of Cotton, Silk thread and zari results to Chanderi fabric. Chanderi fabric comes from a small town, Chanderi town in Madhya Pradesh. The fabric is a result of traditional methods of hand weaving that have been developed over the centuries and passed down through generations. Create your own designs by selecting our Chanderi embroideries in different shades of pastels and earthy colours, with a work of different embroidered coloured threads, patterns and designs.",,,,,,,,,,,,,,,g,,,active
chanderi-off-white-embroidery-fabric,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2022-01-17at16.22.19_1.jpg?v=1642432754,2,,,,,,,,,,,,,,,,,,,,,,
dola-white-silk-embroidery-fabric-1,Dola  White Silk Embroidery Fabric.,,Saroj Fabrics,,Embroidered Raw Silk,"44 Inch, Embroidered, Embroidered Raw Silk, FABRICS, New July, Normal, Raw Silk, ready, white",TRUE,Title,Default Title,,,,,GK339365,60,shopify,16,deny,manual,287.5,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2022-01-17at16.22.48.jpg?v=1642432962,1,,FALSE,Buy Silk Embroidery Fabric Online,,,,,,,,,,,,,,,,g,,,active
dola-white-silk-embroidery-fabric-1,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2022-01-17at16.22.48_1.jpg?v=1642432976,2,,,,,,,,,,,,,,,,,,,,,,
benarsi-dola-white-silk-embroidery-fabric-1,Benarsi  Dola  White Silk Embroidery Fabric.,,Saroj Fabrics,,Embroidered Raw Silk,"44 Inch, Embroidered, Embroidered Raw Silk, FABRICS, New July, Normal, Raw Silk, ready, white",TRUE,Title,Default Title,,,,,GK340623,60,shopify,16,deny,manual,337.5,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2022-01-17at16.22.49.jpg?v=1642433140,1,,FALSE,Buy Silk Embroidery Fabric Online,,,,,,,,,,,,,,,,g,,,active
benarsi-dola-white-silk-embroidery-fabric-1,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2022-01-17at16.22.49_1.jpg?v=1642433173,2,,,,,,,,,,,,,,,,,,,,,,
chanderi-off-white-embroidery-fabric-1,Chanderi Off White Embroidery Fabric,"<p>A beautiful blend of Cotton, Silk thread and zari results to Chanderi fabric. Chanderi fabric comes from a small town, Chanderi town in Madhya Pradesh. The fabric is a result of traditional methods of hand weaving that have been developed over the centuries and passed down through generations. Create your own designs by selecting our Chanderi embroideries in different shades of pastels and earthy colours, with a work of different embroidered coloured threads, patterns and designs.</p>",Saroj Fabrics,,Embroidered Chanderi,"44 Inch, Chanderi, Embroidered, Embroidered Chanderi, FABRICS, New Jan 2021, Normal, off white, ready",TRUE,Title,Default Title,,,,,GK340824,60,shopify,0,deny,manual,437.5,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2022-01-17at16.22.50.jpg?v=1642433509,1,,FALSE,Buy Chanderi Bandhani Embroidery Fabric Online,"Chanderi Embroidery Fabric. A beautiful blend of Cotton, Silk thread and zari results to Chanderi fabric. Chanderi fabric comes from a small town, Chanderi town in Madhya Pradesh. The fabric is a result of traditional methods of hand weaving that have been developed over the centuries and passed down through generations. Create your own designs by selecting our Chanderi embroideries in different shades of pastels and earthy colours, with a work of different embroidered coloured threads, patterns and designs.",,,,,,,,,,,,,,,g,,,active
chanderi-off-white-embroidery-fabric-1,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2022-01-17at16.22.50_1.jpg?v=1642433589,2,,,,,,,,,,,,,,,,,,,,,,
