,Title,desc,product_type,Image Src,found
0,Dola  White Silk Embroidery Fabric.,,Embroidered Raw Silk,./images/askdevi_0.jpg,y
2,Chanderi Off White Embroidery Fabric,"<p>A beautiful blend of Cotton, Silk thread and zari results to Chanderi fabric. Chanderi fabric comes from a small town, Chanderi town in Madhya Pradesh. The fabric is a result of traditional methods of hand weaving that have been developed over the centuries and passed down through generations. Create your own designs by selecting our Chanderi embroideries in different shades of pastels and earthy colours, with a work of different embroidered coloured threads, patterns and designs.</p>",Embroidered Chanderi,./images/askdevi_2.jpg,y
4,Dola  White Silk Embroidery Fabric.,,Embroidered Raw Silk,./images/askdevi_4.jpg,y
6,Benarsi  Dola  White Silk Embroidery Fabric.,,Embroidered Raw Silk,./images/askdevi_6.jpg,y
8,Chanderi Off White Embroidery Fabric,"<p>A beautiful blend of Cotton, Silk thread and zari results to Chanderi fabric. Chanderi fabric comes from a small town, Chanderi town in Madhya Pradesh. The fabric is a result of traditional methods of hand weaving that have been developed over the centuries and passed down through generations. Create your own designs by selecting our Chanderi embroideries in different shades of pastels and earthy colours, with a work of different embroidered coloured threads, patterns and designs.</p>",Embroidered Chanderi,./images/askdevi_8.jpg,y
10,Georgette Embroidered Fabric,,Embroidered Georgette,./images/askdevi_10.jpg,y
12,Net  Embroidery Fabric,,Embroidered Net,./images/askdevi_12.jpg,y
14,Net  Embroidery Fabric,,Embroidered Net,./images/askdevi_14.jpg,y
16,Net  Embroidery Fabric,,Embroidered Net,./images/askdevi_16.jpg,y
18,Georgette  Embroidery Fabric,<p>Georgette Embroidery Fabric</p>,Embroidered Georgette,./images/askdevi_18.jpg,y
20,Georgette  Embroidery Fabric,<p>Georgette Embroidery Fabric</p>,Embroidered Georgette,./images/askdevi_20.jpg,y
22,Cotton Satin Grey Printed Fabric,<p>Cotton Satin Printed Fabric</p>,Cotton Satin Printed,./images/askdevi_22.jpg,y
24,Cotton Satin White Printed Fabric,<p>Cotton Satin Printed Fabric</p>,Cotton Satin Printed,./images/askdevi_24.jpg,y
26,Cotton Satin Blue Tye Dye Printed Fabric,<p>Cotton Satin Printed Fabric</p>,Cotton Satin Printed,./images/askdevi_26.jpg,y
28,Cotton Satin Green Printed Fabric.,<p>Cotton Satin Printed Fabric</p>,Cotton Satin Printed,./images/askdevi_28.jpg,y
30,Satin Linen Neavy Blue Printed Fabric,<p>Modal Satin Printed Fabric</p>,Printed Satin Linen,./images/askdevi_30.jpg,y
32,Banarasi Pink TyeDye Fabric,<p>Banarasi Brocade Fabric</p>,Brocade,./images/askdevi_32.jpg,y
34,Banarasi Blue TyeDye Fabric,<p>Banarasi Brocade Fabric</p>,Brocade,./images/askdevi_34.jpg,y
36,Banarasi Green TyeDye Fabric,<p>Banarasi Brocade Fabric</p>,Brocade,./images/askdevi_36.jpg,y
38,Banarasi Pink TyeDye Fabric,<p>Banarasi Brocade Fabric</p>,Brocade,./images/askdevi_38.jpg,y
40,Banarasi Dark Grey TyeDye Fabric,<p>Banarasi Brocade Fabric</p>,Brocade,./images/askdevi_40.jpg,y
